ocid,releases/0/id,releases/0/contracts/0/id,releases/0/contracts/0/implementation/milestones/0/id,releases/0/contracts/0/implementation/milestones/0/type,releases/0/contracts/0/implementation/milestones/0/dateMet,releases/0/contracts/0/implementation/milestones/0/code,releases/0/contracts/0/implementation/milestones/0/title
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876039,1876039-7,delivery,2021-12-31T12:00:00Z,7,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876045,1876045-4,delivery,2021-09-30T12:00:00Z,4,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876045,1876045-5,delivery,2021-10-31T12:00:00Z,5,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876045,1876045-2,delivery,2021-07-31T12:00:00Z,2,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876045,1876045-6,delivery,2021-11-30T12:00:00Z,6,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876045,1876045-1,delivery,2021-06-30T12:00:00Z,1,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876045,1876045-7,delivery,2021-12-31T12:00:00Z,7,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876045,1876045-8,delivery,2022-01-31T12:00:00Z,8,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876045,1876045-3,delivery,2021-08-31T12:00:00Z,3,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1876045,1876045-9,delivery,2022-02-28T12:00:00Z,9,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846161,1846161-1,delivery,2021-05-31T12:00:00Z,1,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846161,1846161-3,delivery,2021-07-31T12:00:00Z,3,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846161,1846161-4,delivery,2021-08-31T12:00:00Z,4,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846161,1846161-2,delivery,2021-06-30T12:00:00Z,2,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846161,1846161-5,delivery,2021-09-30T12:00:00Z,5,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846161,1846161-8,delivery,2021-12-31T12:00:00Z,8,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846161,1846161-7,delivery,2021-11-30T12:00:00Z,7,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846161,1846161-6,delivery,2021-10-31T12:00:00Z,6,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846144,1846144-6,delivery,2021-11-30T12:00:00Z,6,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846144,1846144-2,delivery,2021-07-31T12:00:00Z,2,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846144,1846144-1,delivery,2021-06-30T12:00:00Z,1,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846144,1846144-7,delivery,2021-12-31T12:00:00Z,7,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846144,1846144-5,delivery,2021-10-31T12:00:00Z,5,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846144,1846144-3,delivery,2021-08-31T12:00:00Z,3,
ocds-hu01ve-7791468,ocds-hu01ve-7791468-01,1846144,1846144-4,delivery,2021-09-30T12:00:00Z,4,
ocds-hu01ve-7901341,ocds-hu01ve-7901341-01,1908740,1908740-7,delivery,2022-03-01T12:00:00Z,7,CDP N. 7
ocds-hu01ve-7901341,ocds-hu01ve-7901341-01,1908740,1908740-6,delivery,2022-01-02T12:00:00Z,6,SAL 06
ocds-hu01ve-7901341,ocds-hu01ve-7901341-01,1908740,1908740-2,delivery,2021-05-02T12:00:00Z,2,
ocds-hu01ve-7901341,ocds-hu01ve-7901341-01,1908740,1908740-3,delivery,2021-07-02T12:00:00Z,3,
ocds-hu01ve-7901341,ocds-hu01ve-7901341-01,1908740,1908740-5,delivery,2021-05-02T12:00:00Z,5,SAL 2 AL 30.6.2021
ocds-hu01ve-7901341,ocds-hu01ve-7901341-01,1908740,1908740-1,delivery,2021-03-02T12:00:00Z,1,
ocds-hu01ve-7901341,ocds-hu01ve-7901341-01,1908740,1908740-4,delivery,2021-09-02T12:00:00Z,4,
ocds-hu01ve-7898996,ocds-hu01ve-7898996-01,2008893,2008893-1,delivery,2021-06-29T12:00:00Z,1,SAL 1
ocds-hu01ve-7904791,ocds-hu01ve-7904791-01,1865483,1865483-1,delivery,2022-03-11T12:00:00Z,1,
ocds-hu01ve-7897019,ocds-hu01ve-7897019-01,1852685,1852685-1,delivery,2021-01-12T12:00:00Z,1,
ocds-hu01ve-7897019,ocds-hu01ve-7897019-01,1852685,1852685-3,delivery,2022-01-10T12:00:00Z,3,
ocds-hu01ve-7897019,ocds-hu01ve-7897019-01,1852685,1852685-2,delivery,2021-06-15T12:00:00Z,2,
ocds-hu01ve-7906515,ocds-hu01ve-7906515-01,1873314,1873314-1,delivery,2022-01-19T12:00:00Z,1,
ocds-hu01ve-7906515,ocds-hu01ve-7906515-01,1873087,1873087-2,delivery,2022-01-19T12:00:00Z,2,
ocds-hu01ve-7906515,ocds-hu01ve-7906515-01,1873087,1873087-1,delivery,2021-05-24T12:00:00Z,1,SAL 31/3
ocds-hu01ve-7903627,ocds-hu01ve-7903627-01,2089158,2089158-1,delivery,2021-07-31T12:00:00Z,1,
ocds-hu01ve-7903627,ocds-hu01ve-7903627-01,2089158,2089158-2,delivery,2021-11-30T12:00:00Z,2,
ocds-hu01ve-7899535,ocds-hu01ve-7899535-01,1958127,1958127-1,delivery,2021-04-19T12:00:00Z,1,LAVORI DI MESSA IN SICUREZZA E RECUPERO FUNZIONALE DELLA SP 77   LIQUIDAZIONE I STATO AVANZAMENTO DEI LAVORI ALLA DITTA DUEPI SRL  - VIA DELLA LIBERTA N. 78  07017 PLOAGHE (CUP J37H18001630001) - (CIG 84598622F9).RNRN
ocds-hu01ve-7872393,ocds-hu01ve-7872393-01,1837103,1837103-1,delivery,2021-07-31T12:00:00Z,1,1
ocds-hu01ve-7891656,ocds-hu01ve-7891656-01,1955538,1955538-1,delivery,2021-06-28T12:00:00Z,1,STATO AVANZAMENTO PAGAMENTI ESTRATTO DA SISTEMA AREAS MASCHERA 190 AVANZATARN
ocds-hu01ve-7891656,ocds-hu01ve-7891656-01,1955493,1955493-1,delivery,2021-06-28T12:00:00Z,1,STATO AVANZAMENTO PAGAMENTI ESTRATTO DA SISTEMA AREAS MASCHERA 190 AVANZATARN
ocds-hu01ve-7891656,ocds-hu01ve-7891656-01,1955548,1955548-1,delivery,2021-06-28T12:00:00Z,1,STATO AVANZAMENTO PAGAMENTI ESTRATTO DA SISTEMA AREAS MASCHERA 190 AVANZATARN
ocds-hu01ve-7891656,ocds-hu01ve-7891656-01,1962953,1962953-1,delivery,2021-06-28T12:00:00Z,1,STATO AVANZAMENTO PAGAMENTI ESTRATTO DA SISTEMA AREAS MASCHERA 190 AVANZATARN
ocds-hu01ve-7919760,ocds-hu01ve-7919760-01,2035353,2035353-1,delivery,2020-10-26T12:00:00Z,1,
ocds-hu01ve-7931604,ocds-hu01ve-7931604-01,1865107,1865107-1,delivery,2021-05-27T12:00:00Z,1,SAL
ocds-hu01ve-7931604,ocds-hu01ve-7931604-01,1865107,1865107-2,delivery,2021-06-18T12:00:00Z,2,2 SAL 
ocds-hu01ve-7896875,ocds-hu01ve-7896875-01,1942092,1942092-1,delivery,2020-10-01T12:00:00Z,1,
ocds-hu01ve-7905745,ocds-hu01ve-7905745-01,1883082,1883082-1,delivery,2021-08-31T12:00:00Z,1,
ocds-hu01ve-7905745,ocds-hu01ve-7905745-01,1883082,1883082-3,delivery,2021-10-14T12:00:00Z,3,
ocds-hu01ve-7905745,ocds-hu01ve-7905745-01,1883082,1883082-2,delivery,2021-06-30T12:00:00Z,2,
ocds-hu01ve-7885512,ocds-hu01ve-7885512-01,1842576,1842576-2,delivery,2021-10-14T12:00:00Z,2,2
ocds-hu01ve-7885512,ocds-hu01ve-7885512-01,1842576,1842576-1,delivery,2021-05-21T12:00:00Z,1,1
ocds-hu01ve-7896370,ocds-hu01ve-7896370-01,1943343,1943343-1,delivery,2020-12-15T12:00:00Z,1,
ocds-hu01ve-7889629,ocds-hu01ve-7889629-01,1917718,1917718-1,delivery,2021-05-07T12:00:00Z,1,1° STATO AVANZAMENTO LAVORI
ocds-hu01ve-7889629,ocds-hu01ve-7889629-01,1916463,1916463-1,delivery,2021-05-08T12:00:00Z,1,1^ STATO AVANZAMENTO LAVORI
ocds-hu01ve-7894518,ocds-hu01ve-7894518-01,1859107,1859107-3,delivery,2021-09-07T12:00:00Z,3,SAL N. 3 40%
ocds-hu01ve-7894518,ocds-hu01ve-7894518-01,1859107,1859107-2,delivery,2021-06-10T12:00:00Z,2,SAL N. 2 20%
ocds-hu01ve-7894518,ocds-hu01ve-7894518-01,1859107,1859107-1,delivery,2021-04-09T12:00:00Z,1,SAL N. 1 20%
ocds-hu01ve-7894518,ocds-hu01ve-7894518-01,1859107,1859107-4,delivery,2021-11-30T12:00:00Z,4,SAL N.4 20%
ocds-hu01ve-7894518,ocds-hu01ve-7894518-01,1859107,1859107-5,delivery,2021-11-30T12:00:00Z,5,STATO FINALE 
ocds-hu01ve-7958956,ocds-hu01ve-7958956-01,1828999,1828999-3,delivery,2021-02-28T12:00:00Z,3,
ocds-hu01ve-7958956,ocds-hu01ve-7958956-01,1828999,1828999-2,delivery,2020-12-30T12:00:00Z,2,
ocds-hu01ve-7958956,ocds-hu01ve-7958956-01,1828999,1828999-4,delivery,2021-12-31T12:00:00Z,4,
ocds-hu01ve-7958956,ocds-hu01ve-7958956-01,1828999,1828999-1,delivery,2020-09-30T12:00:00Z,1,
ocds-hu01ve-7958956,ocds-hu01ve-7958956-01,1828999,1828999-5,delivery,2021-11-09T12:00:00Z,5,
ocds-hu01ve-7902703,ocds-hu01ve-7902703-01,1829376,1829376-1,delivery,2021-10-30T12:00:00Z,1,SAL N. 1
ocds-hu01ve-7909606,ocds-hu01ve-7909606-01,1802840,1802840-1,delivery,2021-04-16T12:00:00Z,1,PRIMO STATO DI AVANZAMENTO 16/10/2020 - 15/04/2021
ocds-hu01ve-7909606,ocds-hu01ve-7909606-01,1802840,1802840-2,delivery,2021-10-15T12:00:00Z,2,SECONDO STATO DI AVANZAMENTO 16/04/2021 - 15/10/2021
ocds-hu01ve-7899119,ocds-hu01ve-7899119-01,1817133,1817133-3,delivery,2021-06-14T12:00:00Z,3,SAL N.3
ocds-hu01ve-7899119,ocds-hu01ve-7899119-01,1817133,1817133-2,delivery,2021-04-23T12:00:00Z,2,SAL 2
ocds-hu01ve-7899119,ocds-hu01ve-7899119-01,1817133,1817133-1,delivery,2021-02-23T12:00:00Z,1,SAL 1
ocds-hu01ve-7899119,ocds-hu01ve-7899119-01,1817133,1817133-4,delivery,2021-11-30T12:00:00Z,4,CONTO FINALE
ocds-hu01ve-7839429,ocds-hu01ve-7839429-01,1915565,1915565-1,delivery,2021-05-01T12:00:00Z,1,PRIMO STATO DI AVANZAMENTO DAL 01/09/2020 AL 01/05/2021 - PAGATO AL 01/05/2021 (IMPONIBILE)
ocds-hu01ve-7839429,ocds-hu01ve-7839429-01,1915565,1915565-2,delivery,2021-11-01T12:00:00Z,2,SECONDO STATO DI AVANZAMENTO DAL 01/05/2021 AL 01/11/2021 - PAGATO AL 01/11/2021 (IMPONIBILE)
ocds-hu01ve-7902985,ocds-hu01ve-7902985-01,1978308,1978308-1,delivery,2021-07-20T12:00:00Z,1,
ocds-hu01ve-7902985,ocds-hu01ve-7902985-01,1978308,1978308-2,delivery,2021-11-02T12:00:00Z,2,
ocds-hu01ve-7891532,ocds-hu01ve-7891532-01,1855500,1855500-1,delivery,2020-12-16T12:00:00Z,1,1
ocds-hu01ve-7904615,ocds-hu01ve-7904615-01,2035004,2035004-1,delivery,2021-10-31T12:00:00Z,1,PRIMO SEMESTRE
ocds-hu01ve-7904716,ocds-hu01ve-7904716-01,1968015,1968015-1,delivery,2021-04-28T12:00:00Z,1,
ocds-hu01ve-7904716,ocds-hu01ve-7904716-01,1968015,1968015-2,delivery,2021-10-28T12:00:00Z,2,
ocds-hu01ve-7902896,ocds-hu01ve-7902896-01,1814570,1814570-1,delivery,2020-11-24T12:00:00Z,1,
ocds-hu01ve-7928492,ocds-hu01ve-7928492-01,1859206,1859206-2,delivery,2021-12-06T12:00:00Z,2,SAL 2 CORRISPONDENTE AL FINALE
ocds-hu01ve-7928492,ocds-hu01ve-7928492-01,1859206,1859206-1,delivery,2021-05-06T12:00:00Z,1,SAL 1
ocds-hu01ve-7897940,ocds-hu01ve-7897940-01,2029953,2029953-1,delivery,2021-04-30T12:00:00Z,1,MONITORAGGIO DAL 03/10/2020 AL 30/04/2021
ocds-hu01ve-7903451,ocds-hu01ve-7903451-01,2068581,2068581-1,delivery,2021-04-30T12:00:00Z,1,PRIMO AVANZAMENTO (PRIMO QUADRIMESTRE). SCHEDA REINSERITA A SEGUITO CANCELLAZIONE OBBLIGATA PER MODIFICA INFORMAZIONI LOTTO CIG
ocds-hu01ve-7903451,ocds-hu01ve-7903451-01,2068581,2068581-2,delivery,2021-08-31T12:00:00Z,2,SECONDO AVANZAMENTO (SECONDO QUADRIMESTRE)
ocds-hu01ve-7867501,ocds-hu01ve-7867501-01,2125355,2125355-4,delivery,2021-12-20T12:00:00Z,4,STATO AVANZAMENTO N3
ocds-hu01ve-7867501,ocds-hu01ve-7867501-01,2125355,2125355-5,delivery,2022-01-20T12:00:00Z,5,STATO AVANZAMENTO N.4
ocds-hu01ve-7867501,ocds-hu01ve-7867501-01,2125355,2125355-2,delivery,2021-09-03T12:00:00Z,2,STATO AVANZAMENTO N.1 
ocds-hu01ve-7867501,ocds-hu01ve-7867501-01,2125355,2125355-3,delivery,2021-11-16T12:00:00Z,3,STATO AVANZAMENTO N.2 
ocds-hu01ve-7927871,ocds-hu01ve-7927871-01,1818598,1818598-1,delivery,2020-12-31T12:00:00Z,1,
ocds-hu01ve-7978735,ocds-hu01ve-7978735-01,2073411,2073411-1,delivery,2021-12-22T12:00:00Z,1,2021/10262
ocds-hu01ve-7847289,ocds-hu01ve-7847289-01,1807377,1807377-3,delivery,2021-12-13T12:00:00Z,3,3
ocds-hu01ve-7847289,ocds-hu01ve-7847289-01,1807377,1807377-2,delivery,2021-11-12T12:00:00Z,2,2
ocds-hu01ve-7847289,ocds-hu01ve-7847289-01,1807377,1807377-1,delivery,2021-07-14T12:00:00Z,1,1
ocds-hu01ve-7903564,ocds-hu01ve-7903564-01,1955893,1955893-1,delivery,2020-10-31T12:00:00Z,1,
ocds-hu01ve-7850545,ocds-hu01ve-7850545-01,2040756,2040756-1,delivery,2021-10-20T12:00:00Z,1,"LIQUIDAZIONE DEL 1 SAL RIF.MANUTENZIONE ORDINARIA, SORVEGLIANZA E PRONTO INTERVENTO DELLE STRADE DI COMPETENZA DEL MUNICIPIO X - 2021, LOTTO ZONA B ENTROTERRA NORD ALL'IMPRESA PE GENERAL CONTRACTOR S.R.L. IMPORTO ? 291.442,35"
ocds-hu01ve-7815300,ocds-hu01ve-7815300-01,1874830,1874830-1,delivery,2021-10-04T12:00:00Z,1,AVANZAMENTO N. 1
ocds-hu01ve-7815300,ocds-hu01ve-7815300-01,1874830,1874830-2,delivery,2021-12-18T12:00:00Z,2,AVANZAMENTO N. 2
ocds-hu01ve-7913035,ocds-hu01ve-7913035-01,1955894,1955894-1,delivery,2020-10-31T12:00:00Z,1,
ocds-hu01ve-7898252,ocds-hu01ve-7898252-01,1868642,1868642-1,delivery,2021-06-30T12:00:00Z,1,PRESTAZIONI 30/06/2021RN
ocds-hu01ve-7911232,ocds-hu01ve-7911232-01,1891184,1891184-1,delivery,2021-06-21T12:00:00Z,1,
ocds-hu01ve-7906406,ocds-hu01ve-7906406-01,1901153,1901153-1,delivery,2021-09-24T12:00:00Z,1,SAL N. 1 A TUTTO IL 20/09/2021
ocds-hu01ve-7915771,ocds-hu01ve-7915771-01,1839710,1839710-1,delivery,2021-01-29T12:00:00Z,1,1
ocds-hu01ve-7915771,ocds-hu01ve-7915771-01,1839710,1839710-3,delivery,2021-03-31T12:00:00Z,3,3
ocds-hu01ve-7915771,ocds-hu01ve-7915771-01,1839710,1839710-5,delivery,2021-05-31T12:00:00Z,5,5
ocds-hu01ve-7915771,ocds-hu01ve-7915771-01,1839710,1839710-2,delivery,2021-02-28T12:00:00Z,2,2
ocds-hu01ve-7915771,ocds-hu01ve-7915771-01,1839710,1839710-4,delivery,2021-04-30T12:00:00Z,4,4
ocds-hu01ve-7900505,ocds-hu01ve-7900505-01,1804900,1804900-1,delivery,2021-09-23T12:00:00Z,1,SAL 4 FINALE
ocds-hu01ve-7898139,ocds-hu01ve-7898139-01,2009839,2009839-1,delivery,2021-11-22T12:00:00Z,1,
ocds-hu01ve-7830314,ocds-hu01ve-7830314-01,1863876,1863876-2,delivery,2022-01-17T12:00:00Z,2,SAL 2 DEL 17/01/2022
ocds-hu01ve-7830314,ocds-hu01ve-7830314-01,1863876,1863876-1,delivery,2021-07-05T12:00:00Z,1,SAL1 DEL 05/07/2021
ocds-hu01ve-7928366,ocds-hu01ve-7928366-01,1901693,1901693-2,delivery,2021-12-22T12:00:00Z,2,SAL 2
ocds-hu01ve-7928366,ocds-hu01ve-7928366-01,1901693,1901693-1,delivery,2021-06-15T12:00:00Z,1,SAL 1
ocds-hu01ve-7874613,ocds-hu01ve-7874613-01,1807608,1807608-1,delivery,2021-12-20T12:00:00Z,1,1
ocds-hu01ve-8434824,ocds-hu01ve-8434824-01,2093159,2093159-1,delivery,2021-03-23T12:00:00Z,1,
ocds-hu01ve-7895190,ocds-hu01ve-7895190-01,1937546,1937546-2,delivery,2021-09-06T12:00:00Z,2,STATO AVANZAMENTO LAVORIRNN. 2 A TUTTO IL 31/08/2021
ocds-hu01ve-7895190,ocds-hu01ve-7895190-01,1937546,1937546-4,delivery,2021-12-06T12:00:00Z,4,STATO FINALE DEI LAVORI
ocds-hu01ve-7895190,ocds-hu01ve-7895190-01,1937546,1937546-1,delivery,2021-08-10T12:00:00Z,1,STATO AVANZAMENTO LAVORIRNN. 1 A TUTTO IL 02/08/2021
ocds-hu01ve-7895190,ocds-hu01ve-7895190-01,1937546,1937546-3,delivery,2021-10-18T12:00:00Z,3,STATO AVANZAMENTO LAVORIRNN. 3 A TUTTO IL 13/10/2021
ocds-hu01ve-7853501,ocds-hu01ve-7853501-01,1882000,1882000-2,delivery,2021-10-22T12:00:00Z,2,LIQUIDAZIONE PERIODO APRILE /AGOSTO 2021
ocds-hu01ve-7853501,ocds-hu01ve-7853501-01,1882000,1882000-1,delivery,2021-03-31T12:00:00Z,1,SEMESTRE 01/10/2020 - 31/03/2021
ocds-hu01ve-7915624,ocds-hu01ve-7915624-01,2048689,2048689-1,delivery,2021-02-02T12:00:00Z,1,SAL1
ocds-hu01ve-7915624,ocds-hu01ve-7915624-01,2048689,2048689-2,delivery,2021-04-09T12:00:00Z,2,SAL2
ocds-hu01ve-7797021,ocds-hu01ve-7797021-01,1960608,1960608-1,delivery,2021-09-30T12:00:00Z,1,1
