ocid,releases/0/id,releases/0/contracts/0/id,releases/0/contracts/0/amendments/0/id,releases/0/contracts/0/amendments/0/date,releases/0/contracts/0/amendments/0/rationale
ocds-hu01ve-7875339,ocds-hu01ve-7875339-01,1882334,251948,2021-06-07T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7927527,ocds-hu01ve-7927527-01,1820294,251608,2021-02-02T12:00:00Z,SOPRAVVENUTE ESIGENZE NORMATIVE E REGOLAMENTARI
ocds-hu01ve-7886234,ocds-hu01ve-7886234-01,2016924,256317,2021-10-04T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7927331,ocds-hu01ve-7927331-01,1821145,259955,2021-10-19T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7929848,ocds-hu01ve-7929848-01,1938197,247462,2020-11-16T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7904250,ocds-hu01ve-7904250-01,1968226,255768,2021-08-10T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7829447,ocds-hu01ve-7829447-01,1932621,261443,2021-11-26T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7900012,ocds-hu01ve-7900012-01,1906594,245030,2021-02-24T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7910416,ocds-hu01ve-7910416-01,1813537,257586,2021-10-19T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7910416,ocds-hu01ve-7910416-01,1813537,253313,2021-07-28T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7917641,ocds-hu01ve-7917641-01,1921239,267036,2022-02-03T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7903827,ocds-hu01ve-7903827-01,1975095,252102,2020-12-22T12:00:00Z,PROROGA TECNICA
ocds-hu01ve-7988774,ocds-hu01ve-7988774-01,1933410,246979,2021-04-02T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7898994,ocds-hu01ve-7898994-01,2057407,261060,2021-11-29T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7892686,ocds-hu01ve-7892686-01,1909817,265924,2021-12-29T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7906232,ocds-hu01ve-7906232-01,1813612,246897,2021-05-05T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7901062,ocds-hu01ve-7901062-01,1856884,265857,2021-12-20T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7901062,ocds-hu01ve-7901062-01,1856884,259936,2021-08-12T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7880891,ocds-hu01ve-7880891-01,1861702,262638,2021-12-15T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7932506,ocds-hu01ve-7932506-01,1996459,254168,2021-07-12T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7900443,ocds-hu01ve-7900443-01,1818536,243467,2021-03-23T12:00:00Z,SOPRAVVENUTE ESIGENZE NORMATIVE E REGOLAMENTARI
ocds-hu01ve-7832747,ocds-hu01ve-7832747-01,1813628,239971,2021-02-18T12:00:00Z,SOPRAVVENUTE ESIGENZE NORMATIVE E REGOLAMENTARI
ocds-hu01ve-7832747,ocds-hu01ve-7832747-01,1813628,247773,2021-05-25T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7901341,ocds-hu01ve-7901341-01,1908740,265806,2021-05-14T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7921178,ocds-hu01ve-7921178-01,2030886,258007,2021-06-16T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7898241,ocds-hu01ve-7898241-01,1902885,243247,2021-03-25T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7908373,ocds-hu01ve-7908373-01,1833523,247206,2021-05-18T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7928487,ocds-hu01ve-7928487-01,1831493,257764,2021-09-30T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7911237,ocds-hu01ve-7911237-01,1864789,250483,2021-07-02T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7897377,ocds-hu01ve-7897377-01,1960636,269530,2021-12-31T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7897377,ocds-hu01ve-7897377-01,1960636,265023,2021-10-19T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7903627,ocds-hu01ve-7903627-01,1810657,266671,2021-11-10T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7903627,ocds-hu01ve-7903627-01,2089158,265816,2021-10-28T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7908628,ocds-hu01ve-7908628-01,2019095,256644,2021-05-28T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7921318,ocds-hu01ve-7921318-01,1959482,261099,2021-05-12T12:00:00Z,SOPRAVVENUTE ESIGENZE NORMATIVE E REGOLAMENTARI
ocds-hu01ve-7905745,ocds-hu01ve-7905745-01,1883082,266760,2021-11-12T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7858026,ocds-hu01ve-7858026-01,1922847,245732,2020-11-11T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7928051,ocds-hu01ve-7928051-01,1898501,265034,2021-10-18T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7878732,ocds-hu01ve-7878732-01,1863303,259441,2021-10-18T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7901250,ocds-hu01ve-7901250-01,1839817,258206,2021-08-02T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7925953,ocds-hu01ve-7925953-01,1823334,262737,2021-10-20T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7889288,ocds-hu01ve-7889288-01,2054326,260662,2021-02-16T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7902745,ocds-hu01ve-7902745-01,1940385,259579,2021-11-11T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7904828,ocds-hu01ve-7904828-01,1872235,247042,2021-04-15T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7895993,ocds-hu01ve-7895993-01,1817202,264502,2021-11-08T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7917053,ocds-hu01ve-7917053-01,1953067,253190,2021-03-19T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7904398,ocds-hu01ve-7904398-01,1907057,253981,2021-05-17T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7902703,ocds-hu01ve-7902703-01,1829376,262156,2021-12-13T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7909606,ocds-hu01ve-7909606-01,1802840,254543,2021-06-28T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7909606,ocds-hu01ve-7909606-01,1802840,268157,2022-02-01T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7909606,ocds-hu01ve-7909606-01,1802840,236333,2020-11-25T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7909606,ocds-hu01ve-7909606-01,1802840,268155,2021-12-07T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7909541,ocds-hu01ve-7909541-01,1888639,243658,2021-01-28T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7884956,ocds-hu01ve-7884956-01,1853613,263777,2021-06-21T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7898200,ocds-hu01ve-7898200-01,1971917,251691,2021-05-31T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7917876,ocds-hu01ve-7917876-01,1814532,243162,2021-02-15T12:00:00Z,ERRORI O OMISSIONI NEL PROGETTO ESECUTIVO
ocds-hu01ve-7914939,ocds-hu01ve-7914939-01,2056610,270160,2022-02-28T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7912856,ocds-hu01ve-7912856-01,1866939,244056,2021-04-06T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7913652,ocds-hu01ve-7913652-01,2039118,271258,2021-07-14T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7904324,ocds-hu01ve-7904324-01,1833049,260173,2021-06-25T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7890229,ocds-hu01ve-7890229-01,2086603,265194,2021-11-19T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7904716,ocds-hu01ve-7904716-01,1968015,259262,2021-11-10T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7892067,ocds-hu01ve-7892067-01,1831960,238809,2021-01-25T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7911022,ocds-hu01ve-7911022-01,1925894,246046,2021-04-21T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7928492,ocds-hu01ve-7928492-01,1859206,269723,2021-09-23T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7928492,ocds-hu01ve-7928492-01,1859206,269725,2021-09-23T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7893122,ocds-hu01ve-7893122-01,1863358,267862,2022-02-16T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-8145043,ocds-hu01ve-8145043-01,1925308,265826,2021-12-30T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-8145043,ocds-hu01ve-8145043-01,1925308,255190,2021-07-23T12:00:00Z,SOPRAVVENUTE ESIGENZE NORMATIVE E REGOLAMENTARI
ocds-hu01ve-7917081,ocds-hu01ve-7917081-01,1947153,258045,2021-03-08T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7902330,ocds-hu01ve-7902330-01,2056674,260977,2021-03-01T12:00:00Z,PROROGA TECNICA
ocds-hu01ve-7907527,ocds-hu01ve-7907527-01,1831910,266099,2021-06-24T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7897394,ocds-hu01ve-7897394-01,1892644,247216,2021-02-25T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7834372,ocds-hu01ve-7834372-01,1828980,251022,2021-03-31T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7903451,ocds-hu01ve-7903451-01,2068629,262512,2021-07-01T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7903451,ocds-hu01ve-7903451-01,2068581,262507,2021-07-01T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7892095,ocds-hu01ve-7892095-01,2080613,265060,2021-10-27T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7897008,ocds-hu01ve-7897008-01,2050878,261497,2021-08-10T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7904222,ocds-hu01ve-7904222-01,1849465,240507,2020-11-27T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7899536,ocds-hu01ve-7899536-01,1844079,236728,2020-12-18T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7860778,ocds-hu01ve-7860778-01,2053981,260650,2021-06-21T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7889975,ocds-hu01ve-7889975-01,1819412,255175,2021-08-24T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7870057,ocds-hu01ve-7870057-01,1834299,249882,2021-06-10T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7901349,ocds-hu01ve-7901349-01,1834438,261527,2021-11-02T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7884937,ocds-hu01ve-7884937-01,2014410,256999,2021-04-08T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7889261,ocds-hu01ve-7889261-01,1921365,245544,2021-02-15T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7913035,ocds-hu01ve-7913035-01,1955894,255680,2020-10-31T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7898237,ocds-hu01ve-7898237-01,1842282,263083,2021-01-21T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7896824,ocds-hu01ve-7896824-01,2049649,261772,2021-06-15T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7914551,ocds-hu01ve-7914551-01,1904292,249261,2021-06-14T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7898252,ocds-hu01ve-7898252-01,1868642,240678,2021-02-02T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7907217,ocds-hu01ve-7907217-01,1873169,255562,2021-05-26T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7901014,ocds-hu01ve-7901014-01,1827481,260300,2021-08-03T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7898139,ocds-hu01ve-7898139-01,2009839,262609,2021-10-21T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7841497,ocds-hu01ve-7841497-01,1842431,244717,2020-12-10T12:00:00Z,SOPRAVVENUTE ESIGENZE NORMATIVE E REGOLAMENTARI
ocds-hu01ve-7841497,ocds-hu01ve-7841497-01,1842431,257830,2021-04-30T12:00:00Z,"LAVORI, SERVIZI O FORNITURE SUPPLEMENTARI NON INCLUSI NELLU2019APPALTO INIZIALE"
ocds-hu01ve-7902084,ocds-hu01ve-7902084-01,1823692,251774,2021-05-27T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7902084,ocds-hu01ve-7902084-01,1823692,267217,2020-12-15T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7928366,ocds-hu01ve-7928366-01,1901693,267927,2021-12-28T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7801479,ocds-hu01ve-7801479-01,1979601,256071,2021-08-30T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7895190,ocds-hu01ve-7895190-01,1937546,250406,2021-07-07T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7895190,ocds-hu01ve-7895190-01,1937546,260138,2021-11-05T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7896847,ocds-hu01ve-7896847-01,1816041,244034,2021-01-21T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7853501,ocds-hu01ve-7853501-01,1882000,259523,2021-03-12T12:00:00Z,MODIFICHE PREVISTE DAI DOCUMENTI DI GARA INIZIALI
ocds-hu01ve-7929780,ocds-hu01ve-7929780-01,2049120,260137,2021-11-10T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7881250,ocds-hu01ve-7881250-01,1818581,268309,2021-06-10T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7881250,ocds-hu01ve-7881250-01,1818581,268312,2021-09-22T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
ocds-hu01ve-7909371,ocds-hu01ve-7909371-01,2013477,255841,2020-12-28T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7909371,ocds-hu01ve-7909371-01,2013477,255842,2021-09-29T12:00:00Z,ALTRE CAUSE IMPREVISTE ED IMPREVEDIBILI
ocds-hu01ve-7918965,ocds-hu01ve-7918965-01,2015664,259284,2021-07-08T12:00:00Z,ALTRE MODIFICHE DI IMPORTO INFERIORE ALLA SOGLIA COMUNITARIA E AL 10% DEL VALORE CONTRATTUALE PER SERVIZI E FORNITURE O AL 15% PER LAVORI
