ocid,releases/0/id,releases/0/contracts/0/id,releases/0/contracts/0/items/0/id,releases/0/contracts/0/items/0/relatedLot,releases/0/contracts/0/items/0/description,releases/0/contracts/0/items/0/unit/value/amount,releases/0/contracts/0/items/0/unit/value/currency,releases/0/contracts/0/items/0/classification/id,releases/0/contracts/0/items/0/classification/description,releases/0/contracts/0/items/0/classification/scheme,releases/0/contracts/0/items/0/classification/uri
ocds-hu01ve-7920574,ocds-hu01ve-7920574-01,1936078,8484978958,8484978958,FORNITURA DI TEST RAPIDI PANBIO COVID IGG-IGM ANTIBODY ,75000,EUR,33124110-9,SISTEMI DIAGNOSTICI,CPV,https://dati.anticorruzione.it/data/cpv/33124110-9
ocds-hu01ve-7902511,ocds-hu01ve-7902511-01,1824678,8463721385,8463721385,FORNITURA DI 'ACQUISTO VOLUMI PER LA BIBLIOTECA PROVINCIALE DI SALERNO' - LOTTO 2,3436.9,EUR,22112000-8,LIBRI DI TESTO,CPV,https://dati.anticorruzione.it/data/cpv/22112000-8
ocds-hu01ve-7902511,ocds-hu01ve-7902511-01,1824680,8463716F61,8463716F61,FORNITURA DI 'ACQUISTO VOLUMI PER LA BIBLIOTECA PROVINCIALE DI SALERNO' - LOTTO 1,5164.84,EUR,22112000-8,LIBRI DI TESTO,CPV,https://dati.anticorruzione.it/data/cpv/22112000-8
ocds-hu01ve-7917277,ocds-hu01ve-7917277-01,2089717,8480757E0F,8480757E0F,DGR 603/2020. IDROVIA FERRARESE. COMPLETAMENTO DEI LAVORI DALLA CONCA DI VALPAGLIARO A VALLE DELLA STESSA FINO ALLA PROGRESSIVA 2750 IN LOC. FINAL DI RERO. SERVIZIO  DI CARATTERIZZAZIONE DELLE TERRE DI SCAVO,48800,EUR,79311100-8,SERVIZI DI PROGETTAZIONE DI INDAGINI,CPV,https://dati.anticorruzione.it/data/cpv/79311100-8
ocds-hu01ve-7888589,ocds-hu01ve-7888589-01,1888894,8447408D98,8447408D98,REALIZZAZIONE DI PISTA CICLABILE A COLLEGAMENTO TRA IL CAPOLUOGO E LA FRAZIONE DI FAGNIGOLA,369569.68,EUR,45233141-9,LAVORI DI MANUTENZIONE STRADALE,CPV,https://dati.anticorruzione.it/data/cpv/45233141-9
ocds-hu01ve-7907603,ocds-hu01ve-7907603-01,2098618,846965004A,846965004A,FORNITURA FARMACI,79600,EUR,33680000-0,ARTICOLI DI FARMACIA,CPV,https://dati.anticorruzione.it/data/cpv/33680000-0
ocds-hu01ve-7900682,ocds-hu01ve-7900682-01,1943350,8461482BD4,8461482BD4,"C.A. N.11 - A.Q. 166 - INTERVENTI DI RIPRISTINO IMPIANTO LFM E VIDEOSORVEGLIANZA NELLE STAZIONI DI URURI-ROTELLO, S. MARTINO IN PENSILIS E GUGLIONESI SULLA LINEA CAMPOBASSO-TERMOLI",160000,EUR,44321000-6,CAVI,CPV,https://dati.anticorruzione.it/data/cpv/44321000-6
ocds-hu01ve-7964811,ocds-hu01ve-7964811-01,1941583,8536245C35,8536245C35,AFFIDAMENTO DEL SERVIZIO DI FACCHINAGGIO INTERNO ED ESTERNO (LOTTO N. 1) FINALIZZATO ALLA MOVIMENTAZIONE DELLE CARTELLE PRESSO L,596700,EUR,63110000-3,SERVIZI DI MOVIMENTAZIONE E MAGAZZINAGGIO,CPV,https://dati.anticorruzione.it/data/cpv/63110000-3
ocds-hu01ve-7906026,ocds-hu01ve-7906026-01,2069042,8467720798,8467720798,INTERVENTO PER IL RIPRISTINO DANNI GENERATI DAL SISMA DEL MAGGIO 2012 AL PONTE SAVOIA SUL CANALE EMISSARIO IN COMUNE DI QUINGENTOLE (MN),209339.17,EUR,45221119-9,LAVORI DI COSTRUZIONE PER RINNOVO DI PONTI,CPV,https://dati.anticorruzione.it/data/cpv/45221119-9
ocds-hu01ve-7889675,ocds-hu01ve-7889675-01,1895586,84485235BB,84485235BB,ACCORDO QUADRO N. 1/2020 AI SENSI DELL,78000,EUR,50230000-6,"RIPARAZIONE, MANUTENZIONE E SERVIZI AFFINI CONNESSI ALLE STRADE ED ALTRE ATTREZZATURE",CPV,https://dati.anticorruzione.it/data/cpv/50230000-6
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825456,84457949AF,84457949AF,MOSS 65,7245,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825494,8445855C05,8445855C05,SUNMEDICAL 77,35400,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825531,844588117D,844588117D,"CHEMIL 86,116,117",99900,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825483,8445836C57,8445836C57,CONVATEC 68,105450,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825542,8445904477,8445904477,"RIMOS 90,110,118",80250,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824978,8445742EC4,8445742EC4,"E.F.M. 60,74,114",26091,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825501,844587193A,844587193A,INNOVAMEDICA 79,68400,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824941,8445666011,8445666011,"SCURMED 23,33",1754.85,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824906,8445642C3F,8445642C3F,CODISAN 11,2160,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825771,84459434A6,84459434A6,"SANIFARM 94,102,103,106",59190.6,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825819,844604372B,844604372B,B.M.SANITAS 107,5085,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824796,84455521FD,84455521FD,"COLOPLAST 6,7,8,28,31,41,42,57,70,78",81570.3,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825594,8445915D88,8445915D88,MEDLINE 91,11400,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825800,8446034FBB,8446034FBB,AORTA 121,4128,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824890,84456280B5,84456280B5,"CLINILAB 10,16,20",50836.92,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824966,8445727267,8445727267,"OLYMPUS 51,115",55530,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825477,8445815B03,8445815B03,SP MED 67,3360,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825986,8446088C4C,8446088C4C,"BIOCARE 100,101",82500,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825838,8446049C1D,8446049C1D,"AIESI 108,109",38100,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825668,8445934D36,8445934D36,"CEA 93,12",30837,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825926,8446071E44,8446071E44,VIGEA 130,9729,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825951,844607840E,844607840E,"COOK 95,97,98",30600,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825861,84460637AC,84460637AC,COLMA 113,14850,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1825016,8445777BA7,8445777BA7,MEDICA 63,11142,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1826020,84460973BC,84460973BC,"ATS 96,99",51600,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824852,84455765CA,84455765CA,BENEFIS 84,46008,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824928,84456567CE,84456567CE,"TELEFLEX 12,13,30,37,38,45,71,72,73",123060,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7883556,ocds-hu01ve-7883556-01,1824873,84455987F1,84455987F1,FARMAC-ZABBAN 9,870,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7900929,ocds-hu01ve-7900929-01,1931833,8461805662,8461805662,RECEPIMENTO GARA AVEN RINNOVO CONTRATTO FORNITURA DI SISTEMI PER L'ESECUZIONE DI ANTIBIOGRAMMI ED IDENTIFICAZIONI BATTERICHE LOTTO 1,116000,EUR,33124110-9,SISTEMI DIAGNOSTICI,CPV,https://dati.anticorruzione.it/data/cpv/33124110-9
ocds-hu01ve-7894601,ocds-hu01ve-7894601-01,1960199,8454275070,8454275070,APPALTO 45/2020 AFFIDAMENTO DEL SERVIZIO DI TRASLOCO DEGLI UFFICI COMUNALI PRESSO NUOVE SEDI E SEDI ESISTENTI. ,6004851,EUR,98392000-7,SERVIZI DI TRASLOCO,CPV,https://dati.anticorruzione.it/data/cpv/98392000-7
ocds-hu01ve-7912678,ocds-hu01ve-7912678-01,1836360,84751689E0,84751689E0,PRESTAZIONI DI MANUTENZIONE EVOLUTIVA IFIX E GE WEBSPACE ,48000,EUR,32441100-7,SISTEMA DI MONITORAGGIO PER TELEMETRIA,CPV,https://dati.anticorruzione.it/data/cpv/32441100-7
ocds-hu01ve-7901760,ocds-hu01ve-7901760-01,1818724,84626786CE,84626786CE, FORNITURA DI MATERIALE DA MEDICAZIONE CLASSICA 2B - PROROGA FINO AL 28.02.2022 DITTA FARMAC,46481.03,EUR,33141000-0,MATERIALI MEDICI NON CHIMICI DI CONSUMO MONOUSO E MATERIALE DI CONSUMO EMATOLOGICO,CPV,https://dati.anticorruzione.it/data/cpv/33141000-0
ocds-hu01ve-7914101,ocds-hu01ve-7914101-01,1939226,8476778A7D,8476778A7D,"'RIQUALIFICAZIONE DELLE FACCIATE DELLA SCUOLA MEDIA 'G.RODARI'VIA DELLE RIMEMBRANZE 28, SAN LAZZARO DI SAVENA:  AFFIDAMENTO DEI LAVORI ALLA DITTA DAL RIO COSTRUZIONI",54519.94,EUR,45262650-2,LAVORI DI RIVESTIMENTO ESTERNO,CPV,https://dati.anticorruzione.it/data/cpv/45262650-2
ocds-hu01ve-7892257,ocds-hu01ve-7892257-01,1820713,84517203FB,84517203FB,MANUTENZIONE ORDINARIA STRADE COMUNALI 2020 2 STRALCIO,82500,EUR,45233141-9,LAVORI DI MANUTENZIONE STRADALE,CPV,https://dati.anticorruzione.it/data/cpv/45233141-9
ocds-hu01ve-7906156,ocds-hu01ve-7906156-01,1901364,8467860B1F,8467860B1F,FORNITURA DI CARRELLI MEDICALI PER GIRO VISITA,74000,EUR,33190000-8,DISPOSITIVI E PRODOTTI MEDICI VARI,CPV,https://dati.anticorruzione.it/data/cpv/33190000-8
ocds-hu01ve-7924384,ocds-hu01ve-7924384-01,1808923,8489364CC8,8489364CC8,FORNITURA DI EMOSTATICI E SIGILLANTI  PROSECUZIONE CONTRATTUALE  TABOTAMP OTTOBRE 2020,202385.76,EUR,33141127-6,EMOSTATICI RIASSORBIBILI,CPV,https://dati.anticorruzione.it/data/cpv/33141127-6
ocds-hu01ve-7897956,ocds-hu01ve-7897956-01,2054475,8458128C05,8458128C05,AFFIDAMENTO DEL SERVIZIO DI ASSISTENZA EDUCATIVA DISABILI SCUOLE SECONDARIE DI SECONDO GRADO A.S. 2020/2021,48000,EUR,85311200-4,SERVIZI DI ASSISTENZA SOCIALE PER DISABILI,CPV,https://dati.anticorruzione.it/data/cpv/85311200-4
ocds-hu01ve-7914958,ocds-hu01ve-7914958-01,1857423,8477927EAB,8477927EAB,"AFFIDAMENTO DIRETTO, PREVIA CONSULTAZIONE DI 5 OPERATORI ECONOMICI, EX ART.36,COMMA 2, LETT.B) D.LGS 50/2016 E S.M.I. SERVIZI DI POTATURA ALBERATURE DI PARCHI, GIARDINI E STRADE",52414.9,EUR,77340000-5,POTATURA DI ALBERI E SIEPI,CPV,https://dati.anticorruzione.it/data/cpv/77340000-5
ocds-hu01ve-7926736,ocds-hu01ve-7926736-01,1970549,849208630F,849208630F,AFFIDAMENTO DEL SERVIZIO DI SELEZIONE E VALORIZZAZIONE DEI RIFIUTI CER A SMALTITORI INDIVIDUATI CER 15.01.07-20.01.32-16.01.03-20.01.38,68181,EUR,90513200-8,SERVIZI DI SMALTIMENTO DEI RIFIUTI SOLIDI URBANI,CPV,https://dati.anticorruzione.it/data/cpv/90513200-8
ocds-hu01ve-7887807,ocds-hu01ve-7887807-01,1871327,8446444217,8446444217,FORNITURA E POSA DI ARREDI A CATALOGO E SU MISURA PER IL SALONE DEL FUTURO,381658,EUR,39150000-8,ARREDI ED ATTREZZATURE VARIE,CPV,https://dati.anticorruzione.it/data/cpv/39150000-8
ocds-hu01ve-7897865,ocds-hu01ve-7897865-01,1811740,8457999194,8457999194,APPROVVIGIONAMENTO DI ABBONAMENTI ALLE PUBBLICAZIONI DI VOLO JEPPESEN-BOTTLANG PERIODO DICEMBRE 2020 - DICEMBRE 2021,69109,EUR,22121000-4,PUBBLICAZIONI TECNICHE,CPV,https://dati.anticorruzione.it/data/cpv/22121000-4
